DatawarehouseName,Bundesland,EchterName
"Aachen, Städteregion",Nordrhein-Westfalen,Aachen
Amerik.abh.Geb.i.Australien(Amerikanisch-Ozeanien),-,USA
"Amerik.abh.Geb.i.Amerika (Puerto Rico, Jungferni.)",-,USA
Argentin.abh.Geb.i.Australien(Antarktis),-,Argentinien
"Austr.abh.Geb.i.Australien(Ashmore.,CocosIns.u.a.)",-,Australien
"Span.abh.Geb.i.Afrika(Ceuta,Melilla,Alhucemas ua.)",-,Spanien
Brit.abh.Gebiete in Asien (Tschagoinseln),-,Großbritannien
"Brit.abh.Geb.in Amerika,Ang.,Berm.,BritJI,Falkl.ua",-,Großbritannien
"Brit.abh.Gebiete in Afrika(Ascens.,St.Hel.,Tr.d.C)",-,Großbritannien
"Brit.abh.Geb.i.Europa,Gibral.,Guern.,IslMan,Jersey",-,Großbritannien
"Brit.abh.Geb.i.Australien,Antakrt.,Pitc.,Südgeorg.",-,Großbritannien
Brit.abh.Geb.in Asien (Tschagoinseln),-,Großbritannien
Chil.abh.Geb.i.Australien (Chilenische Antarktis),-,Chile
Dän.abh.Gebiete in Europa (Färöer),-,Dänemark
Dän.abh.Gebiete in Amerika (Grönland),-,Dänemark
"Franz.abh.Geb.i.Afrika(Mayotte,Réunion)",-,Frankreich
"Franz.abh.Geb.i.Amerika(Martinique,Fr.Guayana ua.)",-,Frankreich
"Franz.abh.Geb.i.Australien(Fr.Polynes.,Neukaled.)",-,Frankreich
"Neuseel.abh.Geb.i.Australien(Tokelau,Ross-Nebeng.)",-,Neuseeland
"Niederl.abh.Gebiete (Aruba, Niederl. Antillen)",-,Niederlande
"Norw.abh.Geb.i.Australien(Bouvet.,K.Maud-L.,PetIs)",-,Norwegen
"Norw.abh.Geb.i.Eur.(Bäreninsen, Spitzbergen)",-,Norwegen
Ungeklärt,-,!ungeklaert
Ohne Angabe,-,!nicht angegeben
Staatenlos,-,!staatenlos
Hongkong (ab 2/99 lt.Stat.inaktiv-akt.China),-,China
Nördl. Marianen (Ozeanien),-,USA
"Korea, Nord, Demokr. VR",-,Nordkorea
Palästinensische Gebiete,-,Israel
Russische Foederation,-,Russland
ehemalige Sowjetunion,-,Russland
Arabische Republik Syrien,-,Syrien
übriges Ozeanien (Tokelau),-,Neuseeland
Bosnien-Herzegowina,-,Bosnien und Herzegowina
Kongo (Demokratische Republik),-,Kongo
Fidschi-Inseln,-,Fidschi
Guayana,-,Guyana
"Laos, Dem. Volksrepublik",-,Laos
Mazedonien(ehem.jug.Rep.),-,Mazedonien
Moldau,-,Moldavien
Marshall-Inseln,-,Marshallinseln
"Pakistan,Islamische Republik",-,Pakistan
Zentralafrik. Republik,-,Zentralafrikanische Republik
"Kongo, Republik",-,Kongo
Taiwan (Chin. Republik),-,Taiwan
"Korea, Republik",-,Südkorea
Serbien und Montenegro,-,Serbien
Vereinigte Arab. Emirate,-,Vereinigte Arabische Emirate
Vereinigte Staaten von Amerika,-,USA
Dominica (Winwand Inseln),-,Dominica
Serbien u. Montenegro,-,Montenegro
